19960411	 1414.000000	      0.000	       0.00	     0.0000	   -0.00282	   -0.00000	    0.00000
19960412	 1415.000000	      0.000	       0.00	     0.0000	    0.00071	    0.00000	       -nan
19960415	 1420.500000	      0.000	       0.00	     0.0000	    0.00389	    0.00000	       -nan
19960416	 1435.250000	      0.000	       0.00	     0.0000	    0.01038	    0.00000	       -nan
19960417	 1430.750000	      0.000	       0.00	     0.0000	   -0.00314	   -0.00000	       -nan
19960418	 1441.350000	      0.000	       0.00	     0.0000	    0.00741	    0.00000	       -nan
19960419	 1442.250000	      0.000	       0.00	     0.0000	    0.00062	    0.00000	       -nan
19960422	 1452.750000	      0.000	       0.00	     0.0000	    0.00728	    0.00000	       -nan
19960423	 1462.050000	      0.000	       0.00	     0.0000	    0.00640	    0.00000	       -nan
19960424	 1470.000000	      0.000	       0.00	     0.0000	    0.00544	    0.00000	       -nan
19960425	 1474.750000	      0.000	       0.00	     0.0000	    0.00323	    0.00000	       -nan
19960426	 1475.050000	      0.000	       0.00	     0.0000	    0.00020	    0.00000	       -nan
19960429	 1474.500000	      0.000	       0.00	     0.0000	   -0.00037	   -0.00000	       -nan
19960430	 1473.250000	      0.000	       0.00	     0.0000	   -0.00085	   -0.00000	       -nan
19960501	 1480.600000	      0.000	       0.00	     0.0000	    0.00499	    0.00000	       -nan
19960502	 1465.850000	      0.000	       0.00	     0.0000	   -0.00996	   -0.00000	       -nan
19960503	 1468.750000	      0.000	       0.00	     0.0000	    0.00198	    0.00000	       -nan
19960506	 1470.750000	      0.000	       0.00	     0.0000	    0.00136	    0.00000	       -nan
19960507	 1467.250000	      0.000	       0.00	     0.0000	   -0.00238	   -0.00000	       -nan
19960508	 1471.750000	      0.000	       0.00	     0.0000	    0.00307	    0.00000	       -nan
19960509	 1470.750000	      0.000	       0.00	     0.0000	   -0.00068	   -0.00000	       -nan
19960510	 1480.750000	      0.000	       0.00	     0.0000	    0.00680	    0.00000	       -nan
19960513	 1496.000000	      0.000	       0.00	     0.0000	    0.01030	    0.00000	       -nan
19960514	 1503.250000	      0.000	       0.00	     0.0000	    0.00485	    0.00000	       -nan
19960515	 1498.450000	      0.000	       0.00	     0.0000	   -0.00319	   -0.00000	       -nan
19960516	 1502.250000	      0.000	       0.00	     0.0000	    0.00254	    0.00000	       -nan
19960517	 1499.250000	      0.000	       0.00	     0.0000	   -0.00200	   -0.00000	       -nan
19960520	 1500.500000	      0.000	       0.00	     0.0000	    0.00083	    0.00000	       -nan
19960521	 1494.850000	      0.000	       0.00	     0.0000	   -0.00377	   -0.00000	       -nan
19960522	 1494.500000	      0.000	       0.00	     0.0000	   -0.00023	   -0.00000	       -nan
19960523	 1497.250000	      0.000	       0.00	     0.0000	    0.00184	    0.00000	       -nan
19960524	 1496.350000	      0.000	       0.00	     0.0000	   -0.00060	   -0.00000	       -nan
19960528	 1492.250000	      0.000	       0.00	     0.0000	   -0.00274	   -0.00000	       -nan
19960529	 1483.250000	      0.000	       0.00	     0.0000	   -0.00603	   -0.00000	       -nan
19960530	 1489.750000	      0.681	       0.00	     0.0000	    0.00438	    0.00000	       -nan
19960531	 1495.250000	      0.885	       0.00	     0.0000	    0.00369	    0.00000	       -nan
19960603	 1495.500000	      0.877	       0.00	     0.0000	    0.00017	    0.00000	       -nan
19960604	 1497.750000	      0.954	       0.00	     0.0000	    0.00150	    0.00000	       -nan
19960605	 1503.750000	      1.268	       1.00	     0.0000	    0.00401	    0.00401	    2.58199
19960606	 1490.800000	      0.476	       0.00	     0.0000	   -0.00861	   -0.00000	    2.54951
19960607	 1496.000000	      0.786	       0.00	     0.0000	    0.00349	    0.00000	    2.51823
19960610	 1493.000000	      0.533	       0.00	     0.0000	   -0.00201	   -0.00000	    2.48807
